Cluster,Class,Count,Percentage of class (%)
0,0,937,9.75
0,1,1440,7.77
0,2,1627,31.21
0,3,2318,61.93
0,4,338,35.03
0,5,9,1.4
0,6,71,11.99
0,7,304,55.58
0,9,11,5.19
1,0,1111,11.55
1,1,5536,29.85
1,2,85,1.63
1,3,265,7.08
1,4,50,5.18
1,5,94,14.6
1,6,3,0.51
1,7,50,9.14
1,8,2,0.7
2,0,1482,15.41
2,1,3171,17.1
2,2,1420,27.24
2,3,625,16.7
2,4,203,21.04
2,5,76,11.8
2,6,89,15.03
2,7,108,19.74
2,8,5,1.75
2,9,7,3.3
3,0,37,0.38
3,1,5429,29.28
3,2,51,0.98
3,3,3,0.08
3,4,3,0.31
3,5,1,0.16
3,7,4,0.73
3,8,1,0.35
4,0,1706,17.74
4,1,458,2.47
4,2,166,3.18
4,3,242,6.47
4,4,93,9.64
4,5,24,3.73
4,6,110,18.58
4,7,29,5.3
4,8,26,9.12
4,9,21,9.91
5,0,1219,12.68
5,1,210,1.13
5,2,158,3.03
5,3,269,7.19
5,4,43,4.46
5,5,313,48.6
5,6,96,16.22
5,7,47,8.59
5,8,65,22.81
5,9,20,9.43
6,0,23,0.24
6,1,2209,11.91
7,0,2230,23.19
7,1,49,0.26
7,2,70,1.34
7,3,8,0.21
7,4,50,5.18
7,5,107,16.61
7,6,51,8.61
7,7,5,0.91
7,8,161,56.49
7,9,16,7.55
8,0,857,8.91
8,1,8,0.04
8,2,7,0.13
8,3,13,0.35
8,4,185,19.17
8,5,20,3.11
8,6,169,28.55
8,8,25,8.77
8,9,137,64.62
9,0,13,0.14
9,1,33,0.18
9,2,1629,31.25
9,6,3,0.51
